"snail_ID","Axis1","Axis2","Axis3","ecotype.x","sex_dissection","DistAlongPath","ecotype.y","group","cluster"
"ANG323",-46.915342048496,-13.6480270840716,-14.7820753763249,NA,"female",86.68037399,"Hybrid",NA,"1"
"ANG324",-47.6165203769771,-41.9755403547678,-6.41129832681312,NA,"female",86.71757313,"Hybrid",NA,"1"
"ANG325",7.60163314937102,-5.08477334958382,2.40614086754751,NA,"female",87.22780646,"Hybrid",NA,"2"
"ANG326",7.38836846014377,-8.97431082923036,-0.021828050615427,NA,"female",86.57492884,"Hybrid",NA,"2"
"ANG330",6.58666187383341,-7.16140575036556,4.33185965792514,NA,"female",86.17575069,"Hybrid",NA,"2"
"ANG334",3.66167858726004,12.3002081840252,-6.66826333327039,NA,"female",87.23331567,"Hybrid",NA,"2"
"ANG337",-1.12394006777937,22.777649596951,5.24473638145244,NA,"female",86.95192084,"Hybrid",NA,"2"
"ANG340",56.0628113895357,10.4962949959793,0.742293213452582,NA,"female",86.14972713,"Hybrid",NA,"3"
"ANG342",5.4557869711347,0.91497971282004,4.25543482079611,NA,"female",86.07109368,"Hybrid",NA,"2"
"ANG349",8.51087349087573,-5.81476119484206,-2.7813737261132,NA,"female",86.07288741,"Hybrid",NA,"2"
"ANG350",8.42634548425552,-5.18661620889999,-3.50607953017154,NA,"female",86.24917916,"Hybrid",NA,"2"
"ANG354",6.41163405544878,4.92204055314365,13.0973397588724,NA,"female",86.48637002,"Hybrid",NA,"2"
"ANG355",8.4595459580644,-14.6842504580792,-2.56160737752879,NA,"female",86.5734891,"Hybrid",NA,"2"
"ANG362",8.60826849248624,2.59811100694588,3.10710548987177,NA,"female",85.74633735,"Hybrid",NA,"2"
"ANG369",6.92243774836083,-5.87519531500345,2.12351616695474,NA,"female",87.22268706,"Hybrid",NA,"2"
"ANG370",6.59486971670063,-6.08953523210639,2.04427595869812,"Wave","female",88.79848477,"Wave","W_F","2"
"ANG372",-47.7953821324786,-22.8840746741475,4.61401320216882,NA,"female",86.0960001,"Hybrid",NA,"1"
"ANG378",-0.215227457426628,1.45728258713828,0.0415877389313319,NA,"female",85.67501655,"Hybrid",NA,"2"
"ANG379",-48.4349541595647,-14.2359505240627,2.91000073368823,NA,"female",85.56321397,"Hybrid",NA,"1"
"ANG382",7.05281732349116,-19.7440017949271,-2.88036231688056,NA,"female",84.27984634,"Hybrid",NA,"2"
"ANG388",4.52139895265466,-4.32181620951921,-1.52211395347696,NA,"female",86.91858559,"Hybrid",NA,"2"
